Timestamp                       Thread     Type        Activity             PID    TTL  
2023-03-01 19:56:57.318663+0800 0x2ad367   Default     0x0                  17564  0    eapolclient: [com.apple.eapol:Client] en0 STOP
2023-03-01 19:56:57.572792+0800 0x2afb87   Default     0x0                  17878  0    eapolclient: [com.apple.eapol:Client] en0 START uid 501 gid 20
2023-03-01 19:56:57.574266+0800 0x2afb87   Default     0x0                  17878  0    eapolclient: [com.apple.eapol:Client] en0: 802.1X User Mode
2023-03-01 19:56:57.689071+0800 0x2afb78   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 19:56:57.703968+0800 0x2afb78   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 19:56:57.706160+0800 0x2afb78   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 19:56:57.715704+0800 0x2afb78   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 19:56:57.717444+0800 0x2afb78   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 19:56:57.723055+0800 0x2afb78   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 19:56:58.020021+0800 0x2afb87   Default     0x0                  17878  0    eapolclient: [com.apple.eapol:Client] en0 EAP-PEAP: successfully authenticated
2023-03-01 19:56:58.106769+0800 0x2afb95   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 19:56:58.126426+0800 0x2afb95   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:17:45.566772+0800 0x2afb87   Default     0x0                  17878  0    eapolclient: [com.apple.eapol:Client] en0 STOP
2023-03-01 20:17:45.815328+0800 0x2b31be   Default     0x0                  18243  0    eapolclient: [com.apple.eapol:Client] en0 START uid 501 gid 20
2023-03-01 20:17:45.832072+0800 0x2b31be   Default     0x0                  18243  0    eapolclient: [com.apple.eapol:Client] en0: 802.1X User Mode
2023-03-01 20:17:45.949788+0800 0x2b31aa   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:17:45.964923+0800 0x2b31aa   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:17:45.966541+0800 0x2b31aa   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:17:45.976455+0800 0x2b31aa   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:17:45.977578+0800 0x2b31aa   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:17:45.979212+0800 0x2b31aa   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
